system:index,AFG,BGR,LTR,PFG,SHR,TRE
0,2,9,5,2,11,0
1,1,9,5,4,13,1
2,0,5,4,0,14,0
3,0,3,3,0,11,0
4,0,5,3,0,12,1
5,3,11,5,1,10,0
6,1,8,4,1,10,0
7,0,6,3,0,6,0
8,1,4,2,0,4,0
9,0,4,2,0,7,0
10,3,13,6,3,13,1
11,8,27,8,7,13,2
12,9,34,8,5,10,1
13,4,29,6,3,12,1
14,4,7,7,3,18,3
15,7,8,8,3,18,3
16,6,11,9,5,17,4
17,7,11,9,5,17,4
18,7,12,8,3,16,4
19,4,11,5,1,14,3
20,3,8,6,1,13,4
21,4,9,8,5,18,5
22,1,9,7,4,14,5
23,1,7,6,3,14,3
24,3,7,7,4,18,1
25,4,8,7,3,19,0
26,3,6,6,3,18,1
27,2,7,7,5,17,2
28,11,8,9,3,16,2
29,15,12,10,7,12,1
30,15,13,11,6,11,1
31,16,13,11,7,11,1
32,17,14,11,6,10,1
33,15,16,11,5,10,1
34,16,17,11,4,10,1
35,16,19,11,3,11,3
36,18,25,13,1,11,5
37,16,29,14,0,12,7
38,11,27,14,0,14,6
39,6,18,12,0,14,5
40,3,3,5,0,10,7
41,2,4,5,0,11,10
42,12,11,9,5,15,2
43,14,15,9,6,9,0
44,15,16,10,6,8,0
45,16,15,10,7,8,0
46,18,14,11,6,9,1
47,17,17,11,6,9,1
48,17,17,11,6,9,1
49,15,18,10,4,8,1
50,15,19,10,3,8,1
51,14,22,10,3,8,1
52,12,23,9,2,10,1
53,9,21,9,1,14,3
54,4,23,10,4,15,8
55,3,27,11,1,16,9
56,10,17,9,2,17,3
57,13,15,10,4,12,1
58,12,17,9,4,10,1
59,12,16,8,4,10,1
60,13,15,8,3,10,1
61,10,16,8,1,10,1
62,15,15,10,3,10,1
63,14,14,10,4,11,1
64,13,15,10,4,11,1
65,13,16,10,3,11,1
66,12,18,9,2,12,1
67,10,18,10,0,16,2
68,6,19,10,0,17,4
69,4,27,11,4,16,9
70,15,15,10,4,13,2
71,15,13,11,5,13,2
72,14,14,11,4,13,2
73,13,15,10,3,12,2
74,13,15,9,3,12,1
75,12,18,9,2,10,1
76,12,18,8,2,9,0
77,11,16,8,3,11,1
78,11,15,9,3,12,1
79,11,16,9,2,14,1
80,11,17,9,1,15,2
81,9,21,10,0,17,2
82,7,21,10,1,17,4
83,4,16,11,6,15,9
84,7,16,8,2,13,2
85,7,13,8,2,15,3
86,8,11,9,2,16,4
87,10,11,9,3,16,4
88,12,14,10,2,14,3
89,14,17,10,3,12,2
90,14,15,10,3,11,1
91,11,17,8,2,10,1
92,10,17,8,2,10,1
93,11,16,8,1,11,1
94,10,17,9,0,14,2
95,8,21,8,0,16,2
96,7,20,12,3,16,7
97,2,9,8,2,12,8
98,6,6,8,3,17,3
99,3,5,6,3,15,1
100,0,3,3,2,11,0
101,1,2,4,2,13,0
102,8,6,8,4,21,1
103,9,13,10,1,18,5
104,12,15,9,0,16,2
105,14,15,9,1,13,2
106,11,16,9,1,13,2
107,8,17,9,0,14,3
108,7,20,9,0,14,4
109,11,21,10,0,15,2
110,10,22,14,1,15,6
111,1,0,2,0,4,4
